#separator:tab
#html:false
#columns:Question	Answer
Horizontal vs vertical networking of life cycles?	Horizontal = across generations, usually forward-only. Vertical = across products, bidirectional; strength depends on the products' "technical proximity" and works across generations too.
What four things can a life-cycle BRANCH do?	Continue linearly, reunite (merge), run separately (split), or die. (Example: the Linux distribution timeline.)
What affects the LENGTH of a product life cycle?	Industry (auto ~7 yrs vs phone ~1 yr), new technologies (digital tools speed up, complexity slows), and the starting point. Trend: shorter cycles, countered by sustainability.
Define new development, wide derivation, close derivation.	New development = nothing reused. Wide derivation = basic features inherited from predecessor. Close derivation = most carried over with minor adjustments. (Landline → mobile → smartphone.)
List the 6 phases of the product-life-cycle curve.	0 Investment, 1 Introduction, 2 Growth, 3 Maturity, 4 Saturation, 5 Degradation.
Characterise phase 0 (Investment) and phase 1 (Introduction).	0: development + production setup, high cost & uncertainty, as short as possible. 1: slow sales, no profit yet, ends at break-even (reach fast).
Characterise phase 2 (Growth) and phase 3 (Maturity).	2: strong/steep sales rise, first revenues, short & steep. 3: most profitable, growth declines, should be as long as possible.
Characterise phase 4 (Saturation) and phase 5 (Degradation).	4: no growth, sales fall, profit falls even faster. 5: profit negative, take the product off the market.
What is the aim of product life cycle management (LCM)?	Coordinate the different product cycles to avoid company fluctuations — continuous production utilization, constant workload, consistent revenue. Avoid a successor "hole".
Which LCM measures lengthen/stimulate a cycle?	Cost measures: remove unneeded functions (focusing), remove parts not experienced, cut over-spec (e.g. smaller semiconductors); plus product enrichment (new features).
Why keep selling a product in the degradation phase?	Retain long-term customers, cross-sales ("entry-ticket" product), and shared investment / scale pricing across products.
What is the BCG matrix and its limitation?	Boston Consulting Group portfolio tool plotting market growth × relative market share to make product decisions; it only records actuals — it does NOT forecast.
BCG: describe the Star quadrant and its decision.	High growth, high market share, best product → invest from own cash flow, or skim without reducing market share.
BCG: describe the Cash Cow quadrant and its decision.	Low/stagnating growth, high share, "milking cow" → milk/skim, no discounts.
BCG: describe the Question Mark quadrant and its decision.	High-growth-potential market, low share, new product → invest from other sources or discontinue.
BCG: describe the Poor Dog quadrant and its decision.	Low growth, low share, discontinued product → terminate, at latest when contribution margin (DB) is negative.
Typical BCG order through a product life cycle?	Question Mark → Star → Cash Cow → Poor Dog. Question Marks create future Stars; Cash Cows finance investments.
How is relative market share calculated in the BCG exercise?	Company market share ÷ competitor market share (>1 means you lead).
What is configuration management, and how does it differ from change management?	Managing the combination (configuration) of HW+SW changes and the resulting properties (Ger. Konfigurationsmanagement). Change focuses on a single change/measure; configuration focuses on the interaction of changes.
List the targets of configuration management.	Handle variant complexity, manage configuration items (HW/SW/combos), ensure system performance/function/integrity, document changes, inform all parties, enable concurrent/distributed engineering, enable roll-backs, create reproducible configurations.
Name the 5 steps of the configuration-management process.	1) CM organization, 2) Configuration identification, 3) Configuration control, 4) Configuration status accounting, 5) Configuration verification and audit.
In which CM step does change management take place?	Step 3 — Configuration control.
What standards describe configuration management?	EIA-649C (ANSI/EIA), Automotive SPICE (SUP), IEEE 828-2012, ISO 10007, NIST; needed for ISO 26262 ch.8 (vehicle FuSi) and ISO 20000 (IT service mgmt).
What is variant management (VM) and its target?	Business model defines the product variants to develop. Target: as many variants as needed for revenue, but as few as possible for complexity — use standard interfaces & tool kits.
What are the tasks of variant management?	Transparency about variants, optimizing (create/delete variants), interconnection with LCM and impact on configuration management.
How does a shared base product help variants?	Same base "below the outer shape" → components sourced more often → cheaper per piece (economy of scale); differentiate by visual appearance and features/configurations.
Where does variant management cause additional effort?	Development (what must the base change?), Testing (which tests can be skipped safely?), Sales (avoid variants negativing each other; build IT-configurators), General (banned variants? cannibalization?).
Reasons to increase vs decrease variants?	Increase: customization, new markets (US vs EU), new clientele (teens→silver agers), new use cases (craft→medical). Decrease: cut cost via synergies (e.g. one plug for all).
Economy of scale and ROI of a variant?	A new variant causes low extra cost (base covers main costs) and has fewer customers, but its ROI is typically higher than the base.
Variant decision: base positive, derivation positive, sum positive?	Implement the variant (case 1).
Variant decision: base positive, derivation negative, sum positive?	Implement only if the variant's extra economy of scale is the reason the base's business case is positive (case 3).
Variant decision: base positive, derivation negative, sum negative?	Don't implement; check the base variant is still business-case positive (case 4).
Variant decision: base negative, derivation positive, sum negative?	Stop the product, optimize the base, or add more positive-BC variants (case 6).
Software tools for version control (code)?	Azure DevOps, BitKeeper, BitBucket, Git, IBM Rational Synergy, RCS, Subversion.
Software tools for product portfolio management?	cplace and ClickUp.
Summary: when is no change management needed, and why is it needed in reality?	Ideally never. In reality: traceability (versioning), releasable/conform product, cost control, avoid extra workforce/missed deadlines/dev issues, keep high quality.
What is the closing message of the chapter?	While change management is important, don't be afraid of changes.
